cv_id,role,final_label_score,grade,subscore_skill,subscore_experience,subscore_achievement,subscore_education,subscore_formatting,subscore_keywords,label_source,labeler_id,label_confidence,labeled_at,missing_skills,strengths,rationale_text,notes
13dbd205bcb9,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.641109,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
06326a3d2c04,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.643198,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
35e87dbc6116,Data Analyst,61.0,C,20.0,15.0,10.0,6.0,7.0,3.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.644813,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
a1c61043cc52,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.646486,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
416bcadc2de2,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.648210,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
19ef9fe54274,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.649939,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
625ec24e7e8d,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.651825,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
aeb607955906,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.653563,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
41b4c3dd7160,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.655202,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
ec545a7d7f66,AI Researcher,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.656862,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
2b5613f3f648,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.658701,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
81792e60c232,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.660517,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
ade47dcd3e3f,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.662293,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
23b065a5e9d8,Data Analyst,61.0,C,20.0,15.0,10.0,6.0,7.0,3.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.664030,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
4f230db67b86,Data Analyst,61.0,C,20.0,15.0,10.0,6.0,7.0,3.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.665860,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
d5bf19641f73,Data Analyst,61.0,C,20.0,15.0,10.0,6.0,7.0,3.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.667434,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
203b436d434b,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.668925,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
2f8e819fed98,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.670430,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
b54412b8455f,Data Analyst,61.0,C,20.0,15.0,10.0,6.0,7.0,3.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.672114,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
003f6ddaf0d8,AI Researcher,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.673888,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
a3067e5a84eb,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.675669,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
8c1a00ea0d04,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.677379,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
4ea969af05ae,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.678815,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
3f5707ac00cf,AI Engineer,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.680296,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
4ba8cbc6e561,Data Engineer,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.681782,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
d24b6d28587d,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.683318,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
869c36e2077c,AI Researcher,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.684889,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
c560c0e37ee5,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.686518,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
710dd49c8187,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.688195,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
994ab7214ae3,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.690056,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
6b19ebe10ccd,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.691807,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
447dc01f9f67,AI Researcher,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.693316,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
8d2d3c30a841,Data Analyst,61.0,C,20.0,15.0,10.0,6.0,7.0,3.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.694969,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
5b921874a12d,AI Engineer,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.696491,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
ba3fe1133a1f,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.698128,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
598b8268655e,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.699920,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
d9c82e52996f,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.701438,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
846dd94c8dfb,AI Researcher,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.703035,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
f5efccc409e1,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.704597,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
2633e6552a8b,Data Analyst,61.0,C,20.0,15.0,10.0,6.0,7.0,3.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.706096,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
2c0a03b0e329,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.707667,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
e786cce234e3,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.709137,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
f7318c6bbbdf,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.710621,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
fe5308f0fe10,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.712403,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
e6dcabee4dc7,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.714196,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
84e7b018364f,Data Analyst,61.0,C,20.0,15.0,10.0,6.0,7.0,3.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.715917,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
c728ee568f46,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.717650,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
4f461fa3f68f,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.719413,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
7f2dc6fccfd9,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.721050,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
09073ed8becc,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.722513,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
b96f31a6945d,AI Researcher,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.723943,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
ddd758ddfafa,Data Analyst,61.0,C,20.0,15.0,10.0,6.0,7.0,3.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.725349,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
937fcbb63ef5,Data Scientist,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.726796,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
bae1441230bc,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.728409,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
9b131fe58aed,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.730057,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
950e88200950,Unknown,41.0,D,12.0,10.0,6.0,5.0,6.0,2.0,rubric_bootstrap,gpt_auto,0.5,2026-04-03T02:12:02.731584,Details not available,Basic relevant skills inferred,Baseline scoring based on limited information; role match assumed moderate/low.,
